161	4Q2udLDhMC8	475	CoreJavaWithOCJP/SCJP:ConcurrentCollectionsPart-8||ConcurrentHashMap||synchronizedMap()||Hashtable
162	plEY1GXYGrI	524	Core Java With OCJP/SCJP:Concurrent Collections Part-9||CopyOnWriteArrayList Properties Part-1
163	WHOqKbjQGXI	729	Core Java With OCJP/SCJP:Concurrent Collections Part-10||CopyOnWriteArrayList Properties Part-2
164	FPF9VZX9Ebk	728	Core Java With OCJP/SCJP:ConcurrentCollections Part-11||CopyOnWriteArrayList Constructors&Methods
165	HRvc6NPO0QA	306	Core Java With OCJP/SCJP:Concurrent Collections Part-12||CopyOnWriteArrayList Program-1
166	Puk_oT7_VNU	427	Core Java With OCJP/SCJP:Concurrent Collections Part-13||CopyOnWriteArrayList Program-2
167	vET8IHSWLzU	324	Core Java With OCJP/SCJP:Concurrent Collections Part-14||CopyOnWriteArrayList Program-3
168	xD9t3fHLjRQ	343	Core Java With OCJP/SCJP:Concurrent Collections Part-15||CopyOnWriteArrayList Program-4
169	zpwXa7j9ud8	302	Core Java With OCJP/SCJP:Concurrent Collections Part-16||ArrayList vs CopyOnWriteArrayList
170	6FXfRR6gzEU	493	CoreJavaWithOCJP/SCJP:Concurrent Collections Part-17||CopyOnWriteArrayList,synchronizedList(),Vector
171	RWHghf_w7Uk	595	Core Java With OCJP/SCJP:Concurrent Collections Part-18||CopyOnWriteArraySet
172	gixD5g4F6OQ	293	Core Java With OCJP/SCJP:Concurrent Collections Part-19||CopyOnWriteArraySet vs synchronizedSet()
173	watjoMfP-3M	2671	Core Java With OCJP/SCJP: Generics Part-1 || Introduction
174	Z2h34SQCo4k	4729	Core Java With OCJP/SCJP: Generics Part-2 || time safety || type casting
175	JMneguQXeUE	3259	Core Java With OCJP/SCJP: Generics Part-3 || time safety || type casting Examples
176	ANzefryEvRo	3427	Core Java With OCJP/SCJP: Generics Part-4 || generics method ||generics wildcard characters(?)
177	OddYBiLxZ9Y	3952	Core Java With OCJP/SCJP: Generics Part-5 || generics method
178	emkpyQid45c	1686	Core Java With OCJP/SCJP:  Garbage collection Part-1 || Introduction
179	2I4yUC3sCjY	3936	Core Java With OCJP/SCJP:  Garbage collection Part-2 || The ways to make object eligible for GC
180	ECQlT9qwakA	3365	Core Java With OCJP/SCJP: Garbage collection Part-3 || The methods for requesting  jvm to run GC
181	Be8rgU2gW9g	3038	Core Java With OCJP/SCJP: Garbage collection Part-4 || finalization-1
182	gDXDnxKYQvk	3373	Core Java With OCJP/SCJP: Garbage collection Part-5 || finalization-2
183	EsfE5M8RvGg	852	Core Java With OCJP/SCJP:Internationalization [I18N]  Part- 1||Introduction
184	4TeDQfbJXoE	4937	Core Java With OCJP/SCJP:Internationalization [I18N]  Part- 2||Local class
185	kiu0gj6rOF8	4305	Core Java With OCJP/SCJP:Internationalization [I18N] Part- 3||NumberFormate class
186	Q3zFdr1Ma34	3688	Core Java With OCJP/SCJP:ENUM  Part- 1|| Introduction
187	UoStP4AueiU	4046	Core Java With OCJP/SCJP:ENUM  Part- 2||enum vs inheritance
188	sxvmzpZw3g8	4619	Core Java With OCJP/SCJP:ENUM  Part- 3||enum vs constructor
